Date,Name,Price,URL
2015-03-09,Chelsey Calf Hair Coat,$549.00,http://www.clubmonaco.com/product/index.jsp?productId=43893976
2015-03-09,Wayland Cardigan,$329.00,http://www.clubmonaco.com/product/index.jsp?productId=53008816
2015-03-09,Yamisella Cashmere Wrap,$349.00,http://www.clubmonaco.com/product/index.jsp?productId=52816966
2015-03-10,Matalin Coat,$239.00,http://www.clubmonaco.com/product/index.jsp?productId=45602436
2015-03-10,Chelsey Calf Hair Coat,$549.00,http://www.clubmonaco.com/product/index.jsp?productId=43893976
2015-03-10,Wayland Cardigan,$329.00,http://www.clubmonaco.com/product/index.jsp?productId=53008816
2015-03-10,Yamisella Cashmere Wrap,$349.00,http://www.clubmonaco.com/product/index.jsp?productId=52816966
2015-03-11,Matalin Coat,$239.00,http://www.clubmonaco.com/product/index.jsp?productId=45602436
2015-03-11,Chelsey Calf Hair Coat,$549.00,http://www.clubmonaco.com/product/index.jsp?productId=43893976
2015-03-11,Wayland Cardigan,$329.00,http://www.clubmonaco.com/product/index.jsp?productId=53008816
2015-03-11,Yamisella Cashmere Wrap,$349.00,http://www.clubmonaco.com/product/index.jsp?productId=52816966
2015-03-12,Matalin Coat,$239.00,http://www.clubmonaco.com/product/index.jsp?productId=45602436
2015-03-12,Chelsey Calf Hair Coat,$549.00,http://www.clubmonaco.com/product/index.jsp?productId=43893976
2015-03-12,Wayland Cardigan,$329.00,http://www.clubmonaco.com/product/index.jsp?productId=53008816
2015-03-12,Yamisella Cashmere Wrap,$349.00,http://www.clubmonaco.com/product/index.jsp?productId=52816966
2015-03-13,Matalin Coat,$239.00,http://www.clubmonaco.com/product/index.jsp?productId=45602436
2015-03-13,Chelsey Calf Hair Coat,$549.00,http://www.clubmonaco.com/product/index.jsp?productId=43893976
2015-03-13,Wayland Cardigan,$329.00,http://www.clubmonaco.com/product/index.jsp?productId=53008816
2015-03-13,Yamisella Cashmere Wrap,$349.00,http://www.clubmonaco.com/product/index.jsp?productId=52816966
2015-03-14,Matalin Coat,$239.00,http://www.clubmonaco.com/product/index.jsp?productId=45602436
2015-03-14,Chelsey Calf Hair Coat,$549.00,http://www.clubmonaco.com/product/index.jsp?productId=43893976
2015-03-14,Wayland Cardigan,$329.00,http://www.clubmonaco.com/product/index.jsp?productId=53008816
2015-03-14,Yamisella Cashmere Wrap,$349.00,http://www.clubmonaco.com/product/index.jsp?productId=52816966
2015-03-16,Matalin Coat,$239.00,http://www.clubmonaco.com/product/index.jsp?productId=45602436
2015-03-16,Chelsey Calf Hair Coat,$549.00,http://www.clubmonaco.com/product/index.jsp?productId=43893976
2015-03-16,Wayland Cardigan,$329.00,http://www.clubmonaco.com/product/index.jsp?productId=53008816
2015-03-16,Yamisella Cashmere Wrap,$349.00,http://www.clubmonaco.com/product/index.jsp?productId=52816966
